,node,baselineSSTAdj,baselineSSTTot,baselineSSTWeight,fishingNode1Adj,fishingNode2Adj,fishingNode3Adj,fishingNode1Tot,fishingNode2Tot,fishingNode3Tot,energyNode1Adj,energyNode2Adj,energyNode1Tot,energyNode2Tot,fishingSumAdj,fishingSumTot,fishingWeight,decFishSumAdj,decFishWeight,energySumAdj,energySumTot,energyWeight
1,Air.Temperature,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
2,Protected.Species,348,1404,0.2,-58,0,-58,118,56,82,58,0,234,68,232,1660,0.139759036,464,0.279518072,290,1706,0.169988277
3,Mid.Atlantic.Groundfish,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
4,Habitat..Seafloor...Demersal,144,1176,0.1,-24,0,-24,60,64,52,24,0,196,96,96,1352,0.071005917,192,0.142011834,120,1468,0.081743869
5,Winds,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
6,Habitat..Pelagic,0,512,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,512,0
7,Cultural.Practices...Attachments,-216,1152,0.2,36,0,36,80,60,60,-36,0,192,72,-144,1352,0.106508876,-288,0.213017751,-180,1416,0.127118644
8,Recreational.Groundfish.Fishery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
9,Detritus...Bacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
10,Bottom.Temperature,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
11,Surface.Salinity,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
12,Stratification,0,256,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,256,0
13,Employment,-312,3408,0.1,52,0,52,192,192,256,-52,0,568,208,-208,4048,0.051383399,-416,0.102766798,-260,4184,0.062141491
14,Source.Water.Proportions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
15,Commercial.Pelagic.Fishery,-168,1080,0.2,28,0,28,52,40,148,-28,0,180,48,-112,1320,0.084848485,-224,0.16969697,-140,1308,0.107033639
16,Seafood,-144,2328,0.1,24,0,24,140,152,108,-24,0,388,160,-96,2728,0.035190616,-192,0.070381232,-120,2876,0.041724618
17,Commercial.Shellfish.Fishery,72,1176,0.1,-12,0,-12,60,92,48,12,0,196,88,48,1376,0.034883721,96,0.069767442,60,1460,0.04109589
18,Groundfish,132,900,0.1,-22,0,-22,58,48,46,22,0,150,52,88,1052,0.08365019,176,0.16730038,110,1102,0.099818512
19,Benthos,0,512,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,512,0
20,Primary.Production,0,512,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,512,0
21,Habitat..Nearshore,0,512,0,0,0,0,0,0,0,0,0,256,0,0,512,0,0,0,0,768,0
22,Profits,-312,3408,0.1,52,0,52,192,192,256,-52,0,568,208,-208,4048,0.051383399,-416,0.102766798,-260,4184,0.062141491
23,Commercial.Groundfish.Fishery,-216,1152,0.2,36,0,36,80,60,60,-36,0,192,72,-144,1352,0.106508876,-288,0.213017751,-180,1416,0.127118644
24,Fished.Invertebrates,-60,1308,0,10,0,10,62,116,54,-10,0,218,76,-40,1540,0.025974026,-80,0.051948052,-50,1602,0.031210986
25,Bottom.Salinity,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
26,Gelatinous.Zooplankton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
27,Surface.Temperature,0,256,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,256,0
28,Copepods...Micronekton,0,512,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,512,0
29,Forage.Fish,-168,1080,0.2,28,0,28,52,40,108,-28,0,180,48,-112,1280,0.0875,-224,0.175,-140,1308,0.107033639
30,Precipitation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
31,Tidal.Forcing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
